REGIONID,PRODUCTGROUP,ITEM,TARGETWEEK,PLANWEEK,PRICE,DISCOUNT
A01,PRODUCT33,ITEM02203,201435,201601,1099,262
A01,PRODUCT33,ITEM02203,201436,201601,1099,262
A01,PRODUCT33,ITEM02203,201443,201601,1099,151
A01,PRODUCT33,ITEM02203,201444,201601,1099,151
A01,PRODUCT33,ITEM02203,201445,201601,1099,151
A01,PRODUCT33,ITEM02203,201502,201601,1099,151
A01,PRODUCT33,ITEM02203,201503,201601,1099,151
A01,PRODUCT33,ITEM02203,201504,201601,1099,151
A01,PRODUCT33,ITEM02203,201509,201601,1099,151
A01,PRODUCT33,ITEM02203,201510,201601,1099,151
A01,PRODUCT33,ITEM02203,201511,201601,1099,151
A01,PRODUCT33,ITEM02203,201517,201601,1099,156
A01,PRODUCT33,ITEM02203,201518,201601,1099,156
A01,PRODUCT33,ITEM02203,201519,201601,1099,156
A01,PRODUCT33,ITEM02203,201520,201601,1099,262
A01,PRODUCT33,ITEM02203,201521,201601,1099,262
A01,PRODUCT33,ITEM02203,201522,201601,1099,262
A01,PRODUCT33,ITEM02203,201523,201601,1099,262
A01,PRODUCT33,ITEM02203,201529,201601,1099,151
A01,PRODUCT33,ITEM02203,201530,201601,1099,151
A01,PRODUCT33,ITEM02203,201531,201601,1099,151
A01,PRODUCT33,ITEM02203,201535,201601,1099,262
A01,PRODUCT33,ITEM02203,201536,201601,1099,262
A01,PRODUCT33,ITEM02203,201537,201601,1099,262
A01,PRODUCT33,ITEM02203,201538,201601,1099,262
A01,PRODUCT33,ITEM02203,201541,201601,1099,151
A01,PRODUCT33,ITEM02203,201542,201601,1099,151
A01,PRODUCT33,ITEM02203,201543,201601,1099,151
A01,PRODUCT33,ITEM02203,201544,201601,1099,151
A01,PRODUCT33,ITEM02203,201551,201601,1099,318
A01,PRODUCT33,ITEM02203,201552,201601,1099,318
A01,PRODUCT33,ITEM02203,201553,201601,1099,318
A01,PRODUCT33,ITEM02203,201601,201601,1099,318
A01,PRODUCT33,ITEM02203,201607,201601,1099,262
A01,PRODUCT33,ITEM02203,201608,201601,1099,262
A01,PRODUCT33,ITEM02203,201609,201601,1099,262
A01,PRODUCT33,ITEM02203,201610,201601,1099,262
A01,PRODUCT33,ITEM03333,201420,201601,999,165
A01,PRODUCT33,ITEM03333,201421,201601,999,165
A01,PRODUCT33,ITEM03333,201422,201601,999,165
A01,PRODUCT33,ITEM03333,201423,201601,999,165
A01,PRODUCT33,ITEM03333,201428,201601,999,162
A01,PRODUCT33,ITEM03333,201429,201601,999,162
A01,PRODUCT33,ITEM03333,201430,201601,999,162
A01,PRODUCT33,ITEM03333,201434,201601,999,218
A01,PRODUCT33,ITEM03333,201435,201601,999,218
A01,PRODUCT33,ITEM03333,201436,201601,999,218
A01,PRODUCT33,ITEM03333,201443,201601,999,162
A01,PRODUCT33,ITEM03333,201444,201601,999,162
A01,PRODUCT33,ITEM03333,201445,201601,999,162
A01,PRODUCT33,ITEM03333,201502,201601,999,106
A01,PRODUCT33,ITEM03333,201503,201601,999,106
A01,PRODUCT33,ITEM03333,201504,201601,999,106
A01,PRODUCT33,ITEM03333,201509,201601,999,106
A01,PRODUCT33,ITEM03333,201510,201601,999,106
A01,PRODUCT33,ITEM03333,201511,201601,999,106
A01,PRODUCT33,ITEM03333,201517,201601,999,106
A01,PRODUCT33,ITEM03333,201518,201601,999,106
A01,PRODUCT33,ITEM03333,201519,201601,999,106
A01,PRODUCT33,ITEM03333,201520,201601,999,218
A01,PRODUCT33,ITEM03333,201521,201601,999,218
A01,PRODUCT33,ITEM03333,201522,201601,999,218
A01,PRODUCT33,ITEM03333,201523,201601,999,218
A01,PRODUCT33,ITEM03333,201529,201601,999,107
A01,PRODUCT33,ITEM03333,201530,201601,999,107
A01,PRODUCT33,ITEM03918,201502,201601,999,174
A01,PRODUCT33,ITEM03918,201506,201601,999,84
A01,PRODUCT33,ITEM03918,201507,201601,999,84
A01,PRODUCT33,ITEM03918,201508,201601,999,84
A01,PRODUCT33,ITEM03918,201509,201601,999,84
A01,PRODUCT33,ITEM02235,201420,201601,899,175
A01,PRODUCT33,ITEM02235,201421,201601,899,175
A01,PRODUCT33,ITEM02235,201422,201601,899,175
A01,PRODUCT33,ITEM02235,201423,201601,899,175
A01,PRODUCT33,ITEM02235,201428,201601,899,174
A01,PRODUCT33,ITEM02235,201429,201601,899,174
A01,PRODUCT33,ITEM02235,201430,201601,899,174
A01,PRODUCT33,ITEM02235,201451,201601,899,129
A01,PRODUCT33,ITEM02235,201452,201601,899,129
A01,PRODUCT33,ITEM02235,201501,201601,899,129
A01,PRODUCT33,ITEM02235,201502,201601,899,129
A01,PRODUCT33,ITEM02235,201506,201601,899,95
A01,PRODUCT33,ITEM02235,201507,201601,899,95
A01,PRODUCT33,ITEM02235,201508,201601,899,95
A01,PRODUCT33,ITEM02812,201521,201601,1099,262
A01,PRODUCT33,ITEM02812,201522,201601,1099,262
A01,PRODUCT33,ITEM02812,201523,201601,1099,262
A01,PRODUCT33,ITEM02812,201529,201601,1099,151
A01,PRODUCT33,ITEM02812,201530,201601,1099,151
A01,PRODUCT33,ITEM02812,201531,201601,1099,151
A01,PRODUCT33,ITEM02812,201535,201601,1099,262
A01,PRODUCT33,ITEM02812,201536,201601,1099,262
A01,PRODUCT33,ITEM02812,201537,201601,1099,262
A01,PRODUCT33,ITEM02812,201538,201601,1099,262
A01,PRODUCT33,ITEM02812,201541,201601,1099,151
A01,PRODUCT33,ITEM02812,201542,201601,1099,151
A01,PRODUCT33,ITEM02812,201543,201601,1099,151
A01,PRODUCT33,ITEM02812,201544,201601,1099,151
A01,PRODUCT33,ITEM02812,201551,201601,1099,318
A01,PRODUCT33,ITEM02812,201552,201601,1099,318
A01,PRODUCT33,ITEM02812,201553,201601,1099,318
A01,PRODUCT33,ITEM02812,201601,201601,1099,318
A01,PRODUCT33,ITEM02812,201607,201601,1099,262
A01,PRODUCT33,ITEM02812,201608,201601,1099,262
A01,PRODUCT33,ITEM02812,201609,201601,1099,262
A01,PRODUCT33,ITEM02812,201610,201601,1099,262
A01,PRODUCT33,ITEM04563,201420,201601,999,165
A01,PRODUCT33,ITEM04563,201421,201601,999,165
A01,PRODUCT33,ITEM04563,201422,201601,999,165
A01,PRODUCT33,ITEM04563,201423,201601,999,165
A01,PRODUCT33,ITEM04563,201428,201601,999,162
A01,PRODUCT33,ITEM04563,201429,201601,999,162
A01,PRODUCT33,ITEM04563,201430,201601,999,162
A01,PRODUCT33,ITEM04563,201434,201601,999,218
A01,PRODUCT33,ITEM04563,201435,201601,999,218
A01,PRODUCT33,ITEM04563,201436,201601,999,218
A01,PRODUCT33,ITEM04563,201443,201601,999,162
A01,PRODUCT33,ITEM04563,201444,201601,999,162
A01,PRODUCT33,ITEM04563,201445,201601,999,162
A01,PRODUCT33,ITEM04563,201502,201601,999,106
A01,PRODUCT33,ITEM04563,201503,201601,999,106
A01,PRODUCT33,ITEM04563,201504,201601,999,106
A01,PRODUCT33,ITEM04563,201509,201601,999,106
A01,PRODUCT33,ITEM04563,201510,201601,999,106
A01,PRODUCT33,ITEM04563,201511,201601,999,106
A01,PRODUCT33,ITEM04563,201517,201601,999,106
A01,PRODUCT33,ITEM04563,201518,201601,999,106
A01,PRODUCT33,ITEM04563,201519,201601,999,106
A01,PRODUCT33,ITEM04563,201520,201601,999,218
A01,PRODUCT33,ITEM04563,201521,201601,999,218
A01,PRODUCT33,ITEM04563,201522,201601,999,218
A01,PRODUCT33,ITEM04563,201523,201601,999,218
A01,PRODUCT33,ITEM04563,201529,201601,999,107
A01,PRODUCT33,ITEM04563,201530,201601,999,107
A01,PRODUCT33,ITEM04563,201531,201601,999,107
A01,PRODUCT33,ITEM04563,201535,201601,999,218
A01,PRODUCT33,ITEM04563,201536,201601,999,218
A01,PRODUCT33,ITEM04563,201537,201601,999,218
A01,PRODUCT33,ITEM04563,201538,201601,999,218
A01,PRODUCT33,ITEM04563,201541,201601,999,162
A01,PRODUCT33,ITEM04563,201542,201601,999,162
A01,PRODUCT33,ITEM04563,201543,201601,999,162
A01,PRODUCT33,ITEM04563,201544,201601,999,162
A01,PRODUCT33,ITEM04563,201551,201601,999,273
A01,PRODUCT33,ITEM04563,201552,201601,999,273
A01,PRODUCT33,ITEM04563,201553,201601,999,273
A01,PRODUCT33,ITEM04563,201601,201601,999,273
A01,PRODUCT33,ITEM04563,201607,201601,999,218
A01,PRODUCT33,ITEM04563,201608,201601,999,218
A01,PRODUCT33,ITEM04563,201609,201601,999,218
A01,PRODUCT33,ITEM04563,201610,201601,999,218
A01,PRODUCT33,ITEM02223,201415,201601,1199,120
A01,PRODUCT33,ITEM02223,201416,201601,1199,120
A01,PRODUCT33,ITEM02223,201417,201601,1199,120
A01,PRODUCT33,ITEM02223,201418,201601,1199,120
A01,PRODUCT33,ITEM02223,201419,201601,1199,120
A01,PRODUCT33,ITEM02223,201424,201601,1199,255
A01,PRODUCT33,ITEM02223,201425,201601,1199,255
A01,PRODUCT33,ITEM02223,201426,201601,1199,255
A01,PRODUCT33,ITEM03912,201511,201601,799,84
A01,PRODUCT33,ITEM03912,201512,201601,799,84
A01,PRODUCT33,ITEM03912,201513,201601,799,84
A01,PRODUCT33,ITEM03912,201514,201601,799,84
A01,PRODUCT33,ITEM03912,201520,201601,799,85
A01,PRODUCT33,ITEM03912,201521,201601,799,85
A01,PRODUCT33,ITEM03912,201522,201601,799,85
A01,PRODUCT33,ITEM03912,201523,201601,799,85
A01,PRODUCT33,ITEM03912,201526,201601,799,129
A01,PRODUCT33,ITEM03912,201527,201601,799,129
A01,PRODUCT33,ITEM03912,201528,201601,799,129
A01,PRODUCT33,ITEM03912,201529,201601,799,129
A01,PRODUCT33,ITEM03351,201518,201601,799,80
A01,PRODUCT33,ITEM03351,201519,201601,799,80
A01,PRODUCT33,ITEM03351,201520,201601,799,129
A01,PRODUCT33,ITEM03351,201521,201601,799,129
A01,PRODUCT33,ITEM03351,201522,201601,799,129
A01,PRODUCT33,ITEM03351,201523,201601,799,129
A01,PRODUCT33,ITEM03351,201535,201601,799,151
A01,PRODUCT33,ITEM04536,201503,201601,1099,106
A01,PRODUCT33,ITEM04536,201504,201601,1099,106
A01,PRODUCT33,ITEM04536,201509,201601,1099,106
A01,PRODUCT33,ITEM02235,201509,201601,899,95
A01,PRODUCT33,ITEM02235,201511,201601,899,95
A01,PRODUCT33,ITEM02235,201512,201601,899,95
A01,PRODUCT33,ITEM02235,201513,201601,899,95
A01,PRODUCT33,ITEM02235,201515,201601,899,95
A01,PRODUCT33,ITEM02235,201516,201601,899,95
A01,PRODUCT33,ITEM02235,201517,201601,899,95
A01,PRODUCT33,ITEM02235,201520,201601,899,129
A01,PRODUCT33,ITEM02235,201521,201601,899,129
A01,PRODUCT33,ITEM02235,201522,201601,899,129
A01,PRODUCT33,ITEM02235,201523,201601,899,129
A01,PRODUCT33,ITEM02235,201532,201601,899,85
A01,PRODUCT33,ITEM02235,201533,201601,899,85
A01,PRODUCT33,ITEM02235,201534,201601,899,85
A01,PRODUCT33,ITEM02235,201535,201601,899,85
A01,PRODUCT33,ITEM02235,201545,201601,899,250
A01,PRODUCT33,ITEM02235,201546,201601,899,250
A01,PRODUCT33,ITEM02235,201547,201601,899,250
A01,PRODUCT33,ITEM02235,201548,201601,899,250
A01,PRODUCT33,ITEM02235,201549,201601,899,250
A01,PRODUCT33,ITEM02235,201601,201601,899,85
A01,PRODUCT33,ITEM02235,201602,201601,899,118
A01,PRODUCT33,ITEM02235,201603,201601,899,118
A01,PRODUCT33,ITEM02235,201604,201601,899,118
A01,PRODUCT33,ITEM02235,201607,201601,899,62
A01,PRODUCT33,ITEM02235,201608,201601,899,62
A01,PRODUCT33,ITEM02235,201609,201601,899,62
A01,PRODUCT33,ITEM02235,201610,201601,899,62
A01,PRODUCT33,ITEM02235,201614,201601,899,118
A01,PRODUCT33,ITEM02235,201615,201601,899,118
A01,PRODUCT33,ITEM02235,201616,201601,899,118
A01,PRODUCT33,ITEM02235,201617,201601,899,118
A01,PRODUCT33,ITEM02235,201618,201601,899,118
A01,PRODUCT33,ITEM02235,201619,201619,899,118
A01,PRODUCT33,ITEM02235,201620,201620,899,118
A01,PRODUCT33,ITEM02235,201623,201623,899,118
A01,PRODUCT33,ITEM02235,201624,201624,899,118
A01,PRODUCT33,ITEM02235,201625,201625,899,173
A01,PRODUCT33,ITEM02235,201626,201626,899,173
A01,PRODUCT33,ITEM02235,201627,201627,899,173
A01,PRODUCT33,ITEM02235,201628,201628,899,173
A01,PRODUCT33,ITEM02808,201525,201601,899,118
A01,PRODUCT33,ITEM02808,201526,201601,899,118
A01,PRODUCT33,ITEM02808,201527,201601,899,118
A01,PRODUCT33,ITEM02808,201528,201601,899,118
A01,PRODUCT33,ITEM02808,201529,201601,899,118
A01,PRODUCT33,ITEM02808,201531,201601,899,118
A01,PRODUCT33,ITEM02808,201532,201601,899,118
A01,PRODUCT33,ITEM02808,201533,201601,899,118
A01,PRODUCT33,ITEM02808,201535,201601,899,173
A01,PRODUCT33,ITEM02808,201536,201601,899,173
A01,PRODUCT33,ITEM02808,201537,201601,899,173
A01,PRODUCT33,ITEM02808,201538,201601,899,173
A01,PRODUCT33,ITEM02808,201539,201601,899,173
A01,PRODUCT33,ITEM02808,201541,201601,899,140
A01,PRODUCT33,ITEM02808,201542,201601,899,140
A01,PRODUCT33,ITEM03345,201632,201630,1299,296
A01,PRODUCT33,ITEM02204,201523,201601,1199,262
A01,PRODUCT33,ITEM02204,201529,201601,1199,140
A01,PRODUCT33,ITEM02204,201530,201601,1199,140
A01,PRODUCT33,ITEM02204,201531,201601,1199,140
A01,PRODUCT33,ITEM02204,201535,201601,1199,251
A01,PRODUCT33,ITEM02204,201536,201601,1199,251
A01,PRODUCT33,ITEM02204,201537,201601,1199,251
A01,PRODUCT33,ITEM02204,201538,201601,1199,251
A01,PRODUCT33,ITEM02204,201541,201601,1199,140
A01,PRODUCT33,ITEM02204,201542,201601,1199,140
A01,PRODUCT33,ITEM02204,201543,201601,1199,140
A01,PRODUCT33,ITEM02204,201544,201601,1199,140
A01,PRODUCT33,ITEM02204,201551,201601,1199,307
A01,PRODUCT33,ITEM02204,201552,201601,1199,307
A01,PRODUCT33,ITEM02204,201553,201601,1199,307
A01,PRODUCT33,ITEM02204,201601,201601,1199,307
A01,PRODUCT33,ITEM02204,201607,201601,1199,251
A01,PRODUCT33,ITEM02204,201608,201601,1199,251
A01,PRODUCT33,ITEM02204,201609,201601,1199,251
A01,PRODUCT33,ITEM02204,201610,201601,1199,251
A01,PRODUCT33,ITEM04536,201420,201601,1099,165
A01,PRODUCT33,ITEM04536,201421,201601,1099,165
A01,PRODUCT33,ITEM04536,201422,201601,1099,165
A01,PRODUCT33,ITEM04536,201423,201601,1099,165
A01,PRODUCT33,ITEM04536,201428,201601,1099,162
A01,PRODUCT33,ITEM04536,201429,201601,1099,162
A01,PRODUCT33,ITEM04536,201430,201601,1099,162
A01,PRODUCT33,ITEM04536,201434,201601,1099,218
A01,PRODUCT33,ITEM04536,201435,201601,1099,218
A01,PRODUCT33,ITEM04536,201436,201601,1099,218
A01,PRODUCT33,ITEM04536,201443,201601,1099,162
A01,PRODUCT33,ITEM04536,201444,201601,1099,162
A01,PRODUCT33,ITEM04536,201445,201601,1099,162
A01,PRODUCT33,ITEM04536,201502,201601,1099,106
A01,PRODUCT33,ITEM02808,201543,201601,899,140
A01,PRODUCT33,ITEM02808,201544,201601,899,140
A01,PRODUCT33,ITEM02808,201545,201601,899,300
A01,PRODUCT33,ITEM02808,201546,201601,899,300
A01,PRODUCT33,ITEM02808,201547,201601,899,300
A01,PRODUCT33,ITEM02808,201548,201601,899,300
A01,PRODUCT33,ITEM02808,201549,201601,899,300
A01,PRODUCT33,ITEM02808,201550,201601,899,173
A01,PRODUCT33,ITEM02808,201551,201601,899,173
A01,PRODUCT33,ITEM02808,201552,201601,899,173
A01,PRODUCT33,ITEM02808,201553,201601,899,173
A01,PRODUCT33,ITEM02808,201601,201601,899,173
A01,PRODUCT33,ITEM02808,201602,201601,899,173
A01,PRODUCT33,ITEM02808,201603,201601,899,173
A01,PRODUCT33,ITEM02808,201604,201601,899,173
A01,PRODUCT33,ITEM02808,201605,201601,899,173
A01,PRODUCT33,ITEM02808,201606,201601,899,173
A01,PRODUCT33,ITEM02808,201607,201601,899,173
A01,PRODUCT33,ITEM02808,201608,201601,899,173
A01,PRODUCT33,ITEM02808,201610,201601,899,118
A01,PRODUCT33,ITEM02808,201611,201601,899,118
A01,PRODUCT33,ITEM02808,201612,201601,899,118
A01,PRODUCT33,ITEM02808,201614,201601,899,118
A01,PRODUCT33,ITEM02808,201615,201601,899,118
A01,PRODUCT33,ITEM02808,201616,201601,899,118
A01,PRODUCT33,ITEM02808,201617,201601,899,118
A01,PRODUCT33,ITEM02808,201620,201620,899,229
A01,PRODUCT33,ITEM02808,201621,201621,899,229
A01,PRODUCT33,ITEM02808,201622,201622,899,229
A01,PRODUCT33,ITEM02808,201623,201623,899,229
A01,PRODUCT33,ITEM02808,201625,201625,899,229
A01,PRODUCT33,ITEM02808,201626,201626,899,229
A01,PRODUCT33,ITEM02808,201627,201627,899,229
A01,PRODUCT33,ITEM02808,201628,201628,899,229
A01,PRODUCT33,ITEM02221,201525,201601,999,107
A01,PRODUCT33,ITEM02221,201526,201601,999,107
A01,PRODUCT33,ITEM02221,201527,201601,999,107
A01,PRODUCT33,ITEM02221,201528,201601,999,107
A01,PRODUCT33,ITEM02221,201529,201601,999,107
A01,PRODUCT33,ITEM02221,201531,201601,999,107
A01,PRODUCT33,ITEM02221,201532,201601,999,107
A01,PRODUCT33,ITEM02221,201533,201601,999,107
A01,PRODUCT33,ITEM02221,201535,201601,999,162
A01,PRODUCT33,ITEM02221,201536,201601,999,162
A01,PRODUCT33,ITEM02221,201537,201601,999,162
A01,PRODUCT33,ITEM02221,201538,201601,999,162
A01,PRODUCT33,ITEM02221,201539,201601,999,162
A01,PRODUCT33,ITEM02221,201541,201601,999,129
A01,PRODUCT33,ITEM02221,201542,201601,999,129
A01,PRODUCT33,ITEM02221,201543,201601,999,129
A01,PRODUCT33,ITEM02221,201544,201601,999,129
A01,PRODUCT33,ITEM02221,201545,201601,999,300
A01,PRODUCT33,ITEM02221,201546,201601,999,300
A01,PRODUCT33,ITEM02221,201547,201601,999,300
A01,PRODUCT33,ITEM02221,201548,201601,999,300
A01,PRODUCT33,ITEM02221,201549,201601,999,300
A01,PRODUCT33,ITEM02221,201550,201601,999,162
A01,PRODUCT33,ITEM02221,201551,201601,999,162
A01,PRODUCT33,ITEM02221,201552,201601,999,162
A01,PRODUCT33,ITEM02221,201553,201601,999,162
A01,PRODUCT33,ITEM02221,201601,201601,999,162
A01,PRODUCT33,ITEM02221,201602,201601,999,162
A01,PRODUCT33,ITEM02221,201603,201601,999,162
A01,PRODUCT33,ITEM02221,201604,201601,999,162
A01,PRODUCT33,ITEM02221,201605,201601,999,162
A01,PRODUCT33,ITEM02221,201606,201601,999,162
A01,PRODUCT33,ITEM02221,201607,201601,999,162
A01,PRODUCT33,ITEM02221,201608,201601,999,162
A01,PRODUCT33,ITEM02221,201610,201601,999,107
A01,PRODUCT33,ITEM02221,201611,201601,999,107
A01,PRODUCT33,ITEM02221,201612,201601,999,107
A01,PRODUCT33,ITEM02221,201614,201601,999,107
A01,PRODUCT33,ITEM02221,201615,201601,999,107
A01,PRODUCT33,ITEM02221,201616,201601,999,107
A01,PRODUCT33,ITEM02221,201617,201601,999,107
A01,PRODUCT33,ITEM03351,201420,201601,799,130
A01,PRODUCT33,ITEM03351,201421,201601,799,130
A01,PRODUCT33,ITEM03351,201422,201601,799,130
A01,PRODUCT33,ITEM01631,201631,201630,999,273
A01,PRODUCT33,ITEM02802,201631,201630,899,229
A01,PRODUCT33,ITEM03351,201423,201601,799,130
A01,PRODUCT33,ITEM03351,201424,201601,799,130
A01,PRODUCT33,ITEM03351,201425,201601,799,133
A01,PRODUCT33,ITEM03351,201426,201601,799,133
A01,PRODUCT33,ITEM03351,201427,201601,799,133
A01,PRODUCT33,ITEM03351,201428,201601,799,133
A01,PRODUCT33,ITEM03351,201434,201601,799,129
A01,PRODUCT33,ITEM03351,201435,201601,799,129
A01,PRODUCT33,ITEM03351,201436,201601,799,129
A01,PRODUCT33,ITEM03351,201443,201601,799,80
A01,PRODUCT33,ITEM03351,201444,201601,799,80
A01,PRODUCT33,ITEM03351,201445,201601,799,80
A01,PRODUCT33,ITEM03351,201505,201601,799,80
A01,PRODUCT33,ITEM03351,201506,201601,799,80
A01,PRODUCT33,ITEM03351,201515,201601,799,80
A01,PRODUCT33,ITEM03351,201516,201601,799,80
A01,PRODUCT33,ITEM03351,201517,201601,799,80
A01,PRODUCT33,ITEM03333,201531,201601,999,107
A01,PRODUCT33,ITEM03333,201535,201601,999,218
A01,PRODUCT33,ITEM03333,201536,201601,999,218
A01,PRODUCT33,ITEM03333,201537,201601,999,218
A01,PRODUCT33,ITEM03333,201538,201601,999,218
A01,PRODUCT33,ITEM03333,201541,201601,999,162
A01,PRODUCT33,ITEM03333,201542,201601,999,162
A01,PRODUCT33,ITEM03333,201543,201601,999,162
A01,PRODUCT33,ITEM03333,201544,201601,999,162
A01,PRODUCT33,ITEM03333,201551,201601,999,273
A01,PRODUCT33,ITEM03333,201552,201601,999,273
A01,PRODUCT33,ITEM03333,201553,201601,999,273
A01,PRODUCT33,ITEM03333,201601,201601,999,273
A01,PRODUCT33,ITEM03333,201607,201601,999,218
A01,PRODUCT33,ITEM03333,201608,201601,999,218
A01,PRODUCT33,ITEM03333,201609,201601,999,218
A01,PRODUCT33,ITEM03333,201610,201601,999,218
A01,PRODUCT33,ITEM02204,201420,201601,1199,205
A01,PRODUCT33,ITEM02204,201421,201601,1199,205
A01,PRODUCT33,ITEM02204,201422,201601,1199,205
A01,PRODUCT33,ITEM02204,201423,201601,1199,205
A01,PRODUCT33,ITEM02204,201428,201601,1199,207
A01,PRODUCT33,ITEM02204,201429,201601,1199,207
A01,PRODUCT33,ITEM02204,201430,201601,1199,207
A01,PRODUCT33,ITEM02204,201434,201601,1199,262
A01,PRODUCT33,ITEM02204,201435,201601,1199,262
A01,PRODUCT33,ITEM02204,201436,201601,1199,262
A01,PRODUCT33,ITEM02204,201443,201601,1199,151
A01,PRODUCT33,ITEM02204,201444,201601,1199,151
A01,PRODUCT33,ITEM02204,201445,201601,1199,151
A01,PRODUCT33,ITEM02204,201502,201601,1199,151
A01,PRODUCT33,ITEM02204,201503,201601,1199,151
A01,PRODUCT33,ITEM02204,201504,201601,1199,151
A01,PRODUCT33,ITEM02204,201509,201601,1199,151
A01,PRODUCT33,ITEM02204,201510,201601,1199,151
A01,PRODUCT33,ITEM02204,201511,201601,1199,151
A01,PRODUCT33,ITEM02204,201517,201601,1199,156
A01,PRODUCT33,ITEM02204,201518,201601,1199,156
A01,PRODUCT33,ITEM02204,201519,201601,1199,156
A01,PRODUCT33,ITEM02204,201520,201601,1199,262
A01,PRODUCT33,ITEM02204,201521,201601,1199,262
A01,PRODUCT33,ITEM02204,201522,201601,1199,262
A01,PRODUCT33,ITEM03912,201535,201601,799,96
A01,PRODUCT33,ITEM03912,201536,201601,799,96
A01,PRODUCT33,ITEM03912,201537,201601,799,96
A01,PRODUCT33,ITEM03912,201538,201601,799,96
A01,PRODUCT33,ITEM03912,201541,201601,799,73
A01,PRODUCT33,ITEM03912,201542,201601,799,73
A01,PRODUCT33,ITEM03912,201543,201601,799,73
A01,PRODUCT33,ITEM03912,201545,201601,799,200
A01,PRODUCT33,ITEM03912,201546,201601,799,200
A01,PRODUCT33,ITEM03912,201547,201601,799,200
A01,PRODUCT33,ITEM03912,201548,201601,799,200
A01,PRODUCT33,ITEM03912,201549,201601,799,200
A01,PRODUCT33,ITEM03912,201551,201601,799,96
A01,PRODUCT33,ITEM03912,201552,201601,799,96
A01,PRODUCT33,ITEM03912,201553,201601,799,96
A01,PRODUCT33,ITEM03912,201601,201601,799,96
A01,PRODUCT33,ITEM03912,201604,201601,799,96
A01,PRODUCT33,ITEM03912,201605,201601,799,96
A01,PRODUCT33,ITEM03912,201606,201601,799,96
A01,PRODUCT33,ITEM03912,201607,201601,799,96
A01,PRODUCT33,ITEM03912,201608,201601,799,96
A01,PRODUCT33,ITEM03912,201610,201601,799,73
A01,PRODUCT33,ITEM03912,201611,201601,799,73
A01,PRODUCT33,ITEM03912,201612,201601,799,73
A01,PRODUCT33,ITEM03912,201613,201601,799,73
A01,PRODUCT33,ITEM03912,201614,201601,799,73
A01,PRODUCT33,ITEM03912,201615,201601,799,73
A01,PRODUCT33,ITEM03912,201616,201601,799,73
A01,PRODUCT33,ITEM03912,201617,201601,799,73
A01,PRODUCT33,ITEM03912,201620,201620,799,129
A01,PRODUCT33,ITEM03912,201621,201621,799,129
A01,PRODUCT33,ITEM03912,201622,201622,799,129
A01,PRODUCT33,ITEM03912,201623,201623,799,129
A01,PRODUCT33,ITEM03912,201625,201625,799,151
A01,PRODUCT33,ITEM03912,201626,201626,799,151
A01,PRODUCT33,ITEM03912,201627,201627,799,151
A01,PRODUCT33,ITEM03912,201628,201628,799,151
A01,PRODUCT33,ITEM00413,201617,201601,849,90
A01,PRODUCT33,ITEM00413,201618,201601,849,90
A01,PRODUCT33,ITEM00413,201619,201619,849,90
A01,PRODUCT33,ITEM00413,201620,201620,849,146
A01,PRODUCT33,ITEM00413,201621,201621,849,146
A01,PRODUCT33,ITEM04544,201630,201630,1099,262
A01,PRODUCT33,ITEM00413,201622,201622,849,146
